state,account length,area code,phone number,international plan,number vmail messages,total day minutes,total day calls,total eve minutes,total eve calls,total night minutes,total night calls,total intl minutes,total intl calls,customer service calls,churn
16,128,415,1926,0,25,265.1,110,197.4,99,244.7,91,10.0,3,1,0
35,107,415,1575,0,26,161.6,123,195.5,103,254.4,103,13.7,3,1,0
31,137,415,1117,0,0,243.4,114,121.2,110,162.6,104,12.2,5,0,0
35,84,408,1707,1,0,299.4,71,61.9,88,196.9,89,6.6,7,2,0
36,75,415,110,1,0,166.7,113,148.3,122,186.9,121,10.1,3,3,0
1,118,510,2253,1,0,223.4,98,220.6,101,203.9,118,6.3,6,0,0
19,121,510,1047,0,24,218.2,88,348.5,108,212.6,118,7.5,7,3,0
24,147,415,80,1,0,157.0,79,103.1,94,211.8,96,7.1,6,0,0
18,117,408,291,0,0,184.5,97,351.6,80,215.8,90,8.7,4,1,0
49,141,415,117,1,37,258.6,84,222.0,111,326.4,97,11.2,5,0,0
15,65,415,70,0,0,129.1,137,228.5,83,208.8,111,12.7,6,4,1
39,74,415,620,0,0,187.7,127,163.4,148,196.0,94,9.1,5,0,0
12,168,408,1282,0,0,128.8,96,104.9,71,141.1,128,11.2,2,1,0
26,95,510,2363,0,0,156.6,88,247.6,75,192.3,115,12.3,5,3,0
12,62,415,1414,0,0,120.7,70,307.2,76,203.0,99,13.1,6,4,0
34,161,415,866,0,0,332.9,67,317.8,97,160.6,128,5.4,9,4,1
13,85,408,834,0,27,196.4,139,280.9,90,89.3,75,13.8,4,1,0
46,93,510,2065,0,0,190.7,114,218.2,111,129.6,121,8.1,3,3,0
45,76,510,1058,0,33,189.7,66,212.8,65,165.7,108,10.0,5,1,0
43,73,415,1616,0,0,224.4,90,159.5,88,192.8,74,13.0,2,1,0
9,147,415,2429,0,0,155.1,117,239.7,93,208.8,133,10.6,4,0,0
5,77,408,2327,0,0,62.4,89,169.9,121,209.6,64,5.7,6,5,1
3,130,415,1119,0,0,183.0,112,72.9,99,181.8,78,9.5,19,0,0
40,111,415,817,0,0,110.4,103,137.3,102,189.6,105,7.7,6,2,0
45,132,510,569,0,0,81.1,86,245.2,72,237.0,115,10.3,2,0,0
29,174,415,126,0,0,124.3,76,277.1,112,250.7,115,15.5,5,3,0
50,57,408,1093,0,39,213.0,115,191.1,112,182.7,115,9.5,3,0,0
